Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Barbados,BRB,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.455949987,3.410241895,-0.058690631,-0.078459375,1.367475642,0.627665194,0.774158135,1.001177344,,,,,,,,,,,,,
Brunei Darussalam,BRN,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,49.93907746,54.52787739,61.82635999,57.85157028,109.3376511,,59.64227061,65.66326214,67.23381414,112.6842482,115.9510445,148.0075393,137.410725,113.6936419,77.32892999,82.63337028,80.88377734,86.54344494,55.90253603,56.79133639,60.44205883,63.16589139,60.42754993,48.69163033,53.34677337,27.12712583,24.15713969,23.85797007,28.25811269,29.82039418,43.37417107,37.76675926,36.71542,24.82485836,12.42618507,25.96108195,21.54761469,39.2712068,34.26417787,,,
Botswana,BWA,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.35827956,11.9402231,8.79790135,9.570003883,6.877742546,6.188991553,5.311108548,,,,,,,,,,2.289299366,3.206624159,18.86064218,7.134851678,3.651788365,2.632765106,1.66687813,2.551470676,2.204886136,1.550352923,2.242219034,2.251453427,1.734261154,1.404564228,1.55901997,1.811547697,1.755614967,
Central African Republic,CAF,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5300815,,,,111.9665247,64.74920574,74.55975321,81.87911411,110.990722,,389.8213351,308.5228256,307.7966099,284.7281383,285.1169391,306.3736713,256.1209425,224.6551362,,
Canada,CAN,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,0.992527328,0.890599585,0.389571379,5.355053429,0.3926802,0.282092052,0.087211263,-0.567969964,-0.107404708,0.006261677,-0.013664091,0.144115043,0.197578907,1.082616079,0.082113693,0.615425,1.035834691,1.296211303,1.95802509,1.928008566,1.791794724,2.18461505,1.703751217,1.447076745,1.589597017,0.961048315,0.761544806,0.503259446,0.320348023,0.389110115,-0.050078301,0.54309643,0.299943515,0.811240405,0.404611982,0.386519801,0.312856357,0.209378222,0.414731571,0.32894065,0.240732428,0.143796709,0.457617663,0.103577091,0.323423772,0.113930794,,,,,,
China,CHN,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.34589707,65.09899889,11.56876427,6.763107387,3.606995633,10.02346624,6.094133063,10.3944187,62.44970422,22.77194203,40.77214234,70.76250986,29.9890576,20.54945095,10.57343579,9.492913872,10.56359382,11.13191502,14.26284453,15.4645353,13.22203934,15.11893146,
Cameroon,CMR,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.78978565,27.58081916,39.66049247,33.94055579,90.65550114,46.0799486,,,43.61148119,36.1073275,,,,,,,,,,,,,15.52839977,17.23518702,18.29541324,16.60011607,18.80229381,32.01953964,25.65776128,26.54316523,28.48207816,20.40435589,,
"Congo, Dem. Rep.",COD,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.17624575,29.4943646,20.27845583,9.736521965,97.1442515,65.86499071,51.53405893,45.70880012,23.00851474,30.21098378,45.69560399,58.69645217,180.1146101,787.2529652,181.5951884,119.9125674,105.3774047,52.91389867,60.39113356,93.00262675,193.0004421,,68.29791812,60.38267588,54.48565336,54.62602503,45.8401572,77.93160785,53.46644305,67.97369364,76.47894157,70.68519081,37.06943641,
"Congo, Rep.",COG,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2825386,7.025675838,10.11673709,8.673434013,99.92826481,18.01460372,6.23065433,26.2342078,20.18758105,92.96283896,16.39725337,6.795665101,7.728727328,4.642037921,4.794115291,4.638207775,5.633730431,6.040376013,7.789668269,10.57057936,8.530330875,,
Colombia,COL,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94253522,1.668214944,1.1966067,,,3.121282478,,,,,1.644863269,1.843653077,0.924787771,1.249114637,0.823556713,0.674222178,1.064568585,1.722854091,1.366963088,0.991351344,1.778012842,0.863977802,1.891601494,1.687480205,1.666131995,
Comoros,COM,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.46918817,46.65383094,42.64840924,54.54508004,58.51959283,99.65040476,69.04645548,76.27324354,71.25166959,63.1989291,45.36908688,32.66139185,32.99787787,16.97890396,28.25506292,28.1137014,,,
